scientificName,State,TerrestrialEcoregions,,,,,,,,,,,,,,,,,,,,
Acacia catechu,Andhra Pradesh,Central Deccan Plateau Dry Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Albizia lebbek,Andhra Pradesh,Central Deccan Plateau Dry Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Anogeissus latifolia,Andhra Pradesh,Central Deccan Plateau Dry Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Anogeissus latifolia,Andhra Pradesh,Central Deccan Plateau Dry Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Anogeissus latifolia,Andhra Pradesh,Central Deccan Plateau Dry Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Boswellia serrata,Andhra Pradesh,Central Deccan Plateau Dry Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Chyloroxylon swietenia,Andhra Pradesh,Central Deccan Plateau Dry Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Dalbergia latifolia,Andhra Pradesh,Central Deccan Plateau Dry Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Diospyros tomentosa,Andhra Pradesh,Central Deccan Plateau Dry Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Lagerstroemia parvifolia,Andhra Pradesh,Central Deccan Plateau Dry Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Lannea coromandelica,Andhra Pradesh,Central Deccan Plateau Dry Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Pterocarpus marsupium,Andhra Pradesh,Central Deccan Plateau Dry Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Pterocarpus santalinus,Andhra Pradesh,Central Deccan Plateau Dry Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Tectona grandis,Andhra Pradesh,Central Deccan Plateau Dry Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Tectona grandis,Andhra Pradesh,Central Deccan Plateau Dry Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Terminalia chebula,Andhra Pradesh,Central Deccan Plateau Dry Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Terminalia tomentosa,Andhra Pradesh,Central Deccan Plateau Dry Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Aristida setacea,Andhra Pradesh,Deccan Thorn Scrub Forests,,,,,,,,,,,,,,,,,,,,
Azadirachta indica,Andhra Pradesh,Deccan Thorn Scrub Forests,,,,,,,,,,,,,,,,,,,,
Balanites roxburghii,Andhra Pradesh,Deccan Thorn Scrub Forests,,,,,,,,,,,,,,,,,,,,
Capparis spp.,Andhra Pradesh,Deccan Thorn Scrub Forests,,,,,,,,,,,,,,,,,,,,
Carrisa carandas,Andhra Pradesh,Deccan Thorn Scrub Forests,,,,,,,,,,,,,,,,,,,,
Cassia fistula,Andhra Pradesh,Deccan Thorn Scrub Forests,,,,,,,,,,,,,,,,,,,,
Chrysopogon fulvus,Andhra Pradesh,Deccan Thorn Scrub Forests,,,,,,,,,,,,,,,,,,,,
Cordia myxa,Andhra Pradesh,Deccan Thorn Scrub Forests,,,,,,,,,,,,,,,,,,,,
Cycas beddomei,Andhra Pradesh,Deccan Thorn Scrub Forests,,,,,,,,,,,,,,,,,,,,
Dactyloctenium spp.,Andhra Pradesh,Deccan Thorn Scrub Forests,,,,,,,,,,,,,,,,,,,,
Diospyros chloroxylon,Andhra Pradesh,Deccan Thorn Scrub Forests,,,,,,,,,,,,,,,,,,,,
Eremopogon foveolatus,Andhra Pradesh,Deccan Thorn Scrub Forests,,,,,,,,,,,,,,,,,,,,
Heteropogon contortus,Andhra Pradesh,Deccan Thorn Scrub Forests,,,,,,,,,,,,,,,,,,,,
Phoenix sylvestris,Andhra Pradesh,Deccan Thorn Scrub Forests,,,,,,,,,,,,,,,,,,,,
Prosopis spp.,Andhra Pradesh,Deccan Thorn Scrub Forests,,,,,,,,,,,,,,,,,,,,
Psilotum nudum,Andhra Pradesh,Deccan Thorn Scrub Forests,,,,,,,,,,,,,,,,,,,,
Pterocarpus santalinus,Andhra Pradesh,Deccan Thorn Scrub Forests,,,,,,,,,,,,,,,,,,,,
Carissa spinarum,Andhra Pradesh,East Deccan Dry Evergreen Forests,,,,,,,,,,,,,,,,,,,,
Dicrostachys cinerea,Andhra Pradesh,East Deccan Dry Evergreen Forests,,,,,,,,,,,,,,,,,,,,
Diospyros ebernum,Andhra Pradesh,East Deccan Dry Evergreen Forests,,,,,,,,,,,,,,,,,,,,
Drypetes sepiaria,Andhra Pradesh,East Deccan Dry Evergreen Forests,,,,,,,,,,,,,,,,,,,,
Eugenia spp.,Andhra Pradesh,East Deccan Dry Evergreen Forests,,,,,,,,,,,,,,,,,,,,
Flacourtia indica,Andhra Pradesh,East Deccan Dry Evergreen Forests,,,,,,,,,,,,,,,,,,,,
Manilkara hexandra,Andhra Pradesh,East Deccan Dry Evergreen Forests,,,,,,,,,,,,,,,,,,,,
Mimusops elengi,Andhra Pradesh,East Deccan Dry Evergreen Forests,,,,,,,,,,,,,,,,,,,,
Randia dumetorum,Andhra Pradesh,East Deccan Dry Evergreen Forests,,,,,,,,,,,,,,,,,,,,
Strychnos nux-vomica,Andhra Pradesh,East Deccan Dry Evergreen Forests,,,,,,,,,,,,,,,,,,,,
Zyzyphus glabarrima,Andhra Pradesh,East Deccan Dry Evergreen Forests,,,,,,,,,,,,,,,,,,,,
Adina,Andhra Pradesh,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Anogeissus sp.,Andhra Pradesh,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Arisaema tortuosum,Andhra Pradesh,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Arisaema tortuosum,Andhra Pradesh,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Artocarpus integrifolia,Andhra Pradesh,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Boehmeria macrophylla,Andhra Pradesh,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Buchanania,Andhra Pradesh,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Calamus rotang,Andhra Pradesh,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Cleistanthus,Andhra Pradesh,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Didymocarpus pygmaea,Andhra Pradesh,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Elatostemma cuneatum,Andhra Pradesh,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Gnetum ula,Andhra Pradesh,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Leucas mukerjiana,Andhra Pradesh,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Phlebophyllum jeyporensis,Andhra Pradesh,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Rubus ellipticus,Andhra Pradesh,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Rubus ellpiticus,Andhra Pradesh,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
