,count
Mangifera indica,8
Calotropis gigantea,7
Polyalthia suberosa,6
Cocos nucifera,5
Ficus religiosa,5
Neolamarckia cadamba,4
Mimusops elengi,4
Azadirachta indica,4
Ficus benghalensis,4
Discophora sondaica,4
Melanitis leda,4
Ricinus communis,4
Acacia auriculiformis,4
Terminalia catappa,4
Alstonia scholaris,4
Moringa oleifera,4
Diplacodes trivialis,3
Duttaphrynus melanostictus,3
Neurothemis intermedia,3
Amata passalis,3
Sieruela rutidosperma,3
Clerodendrum infortunatum,3
Chromolaena odorata,3
Papilio polytes,2
Calidris temminckii,2
Egretta garzetta,2
Tringa nebularia,2
Spilornis cheela,2
Anser indicus,2
Microcarbo niger,2
Dendrocygna javanica,2
Canis lupus,2
Peucetia viridana,2
Funambulus pennantii,2
Coccinia grandis,2
Tridax procumbens,2
Columba livia,2
Danaus chrysippus,2
Callistemon viminalis,1
Anthracoceros coronatus,1
Ailanthus excelsa,1
Cassia fistula,1
Psidium guajava,1
Pongamia pinnata,1
Lantana camara,1
Gliricidia sepium,1
Tectona grandis,1
Asota caricae,1
Delonix regia,1
Syzygium cumini,1
Albizia lebbeck,1
Arivela viscosa,1
Polypedates maculatus,1
Euphorbia hirta,1
Telamonia dimidiata,1
Sida acuta,1
Musca domestica,1
Vachellia nilotica,1
Jasminum grandiflorum,1
Senna tora,1
Hemidactylus frenatus,1
Ziziphus oenopolia,1
Jatropha gossypiifolia,1
Lannea coromandelica,1
Murraya paniculata,1
Ixora coccinea,1
Halcyon pileata,1
Vanellus cinereus,1
Tadorna ferruginea,1
Mycteria leucocephala,1
Haliaeetus leucogaster,1
Circaetus gallicus,1
Tyto alba,1
Rhopodytes tristis,1
Ceryle rudis,1
Todiramphus chloris,1
Charadrius dubius,1
Halcyon smyrnensis,1
Recurvirostra avosetta,1
Pluvialis squatarola,1
Plexippus paykulli,1
Anacardium occidentale,1
Onychargia atrocyana,1
Oriolus xanthornus,1
Acraea terpsicore,1
Pluvialis fulva,1
Micropternus brachyurus,1
Ardea purpurea,1
Ardeola grayii,1
Lanius schach,1
Orcaella brevirostris,1
Chroicocephalus brunnicephalus,1
Milvus migrans,1
Sibynophis subpunctatus,1
Hycleus biundulatus,1
Ardea alba,1
Numenius phaeopus,1
Ardea cinerea,1
Tringa stagnatilis,1
Streptopelia decaocto,1
Amaurornis phoenicurus,1
Dicrurus macrocercus,1
Merops orientalis,1
Merops philippinus,1
Tringa totanus,1
Tringa erythropus,1
Himantopus himantopus,1
Kallima inachus,1
Chlorophytum comosum,1
Ocimum basilicum,1
Tagetes erecta,1
Pachliopta aristolochiae,1
Lanius cristatus,1
Phoenix sylvestris,1
Borassus flabellifer,1
Coleus scutellarioides,1
Abutilon indicum,1
Solanum torvum,1
Pycnarmon cribrata,1
Neopithecops zalmora,1
Eutropis carinata,1
Fowlea piscator,1
Semnopithecus entellus,1
Moduza procris,1
Bubo bengalensis,1
Hygrophila auriculata,1
Neurothemis fulvia,1
Neptis hylas,1
Pareronia hippia,1
Coracias benghalensis,1
Turdoides striata,1
Senna occidentalis,1
Crossandra infundibuliformis,1
Iridomyrmex anceps,1
Aphaenogaster beccarii,1
Hottentotta tamulus,1
Rhynocoris marginatus,1
Melanotelus bipunctatus,1
Cyanthillium cinereum,1
Licuala grandis,1
Hippotion rosetta,1
Cigaritis vulcanus,1
Saraca asoca,1
Monomorium destructor,1
Calotes versicolor,1
Alcea rosea,1
Euryopis episinoides,1
Musa paradisiaca,1
Neptis jumbah,1
Ypthima huebneri,1
Vestalis gracilis,1
Ageratum conyzoides,1
Streptopelia orientalis,1
Canthelea oegnusalis,1
Glaucidium radiatum,1
Coracina melaschistos,1
Cyornis rubeculoides,1
Gasteracantha geminata,1
Acraea violae,1
Diaphania indica,1
Trithemis pallidinervis,1
Diospyros melanoxylon,1
Carica papaya,1
Daphnis nerii,1
Mantis religiosa,1
Cucurbita pepo,1
Catharanthus roseus,1
Gomphrena globosa,1
Spilopelia chinensis,1
Tirumala limniace,1
Petrelaea dana,1
Bubulcus coromandus,1
Mycalesis perseus,1
Lestes elatus,1
Ariadne ariadne,1
Dicrurus leucophaeus,1
Mycalesis visala,1
Castalius rosimon,1
Delias eucharis,1
Haliaeetus leucoryphus,1
Eurema hecabe,1
Nyctyornis athertoni,1
Pontederia crassipes,1
Elymnias hypermnestra,1
Tephrodornis virgatus,1
Acrida cinerea,1
Oecophylla smaragdina,1
Leptosia nina,1
Leucauge decorata,1
