Adina cordifolia,chhota-nagpur-dry-deciduous-forests
Albizia odoratissima,chhota-nagpur-dry-deciduous-forests
Alstonia scholaris,chhota-nagpur-dry-deciduous-forests
Anogeissus latifolia,chhota-nagpur-dry-deciduous-forests
Butea monosperma,chhota-nagpur-dry-deciduous-forests
Dalbergia sissoo,chhota-nagpur-dry-deciduous-forests
Diospyros melanoxylon,chhota-nagpur-dry-deciduous-forests
Diospyros montana,chhota-nagpur-dry-deciduous-forests
Ficus bengalensis,chhota-nagpur-dry-deciduous-forests
Ficus glaberrima,chhota-nagpur-dry-deciduous-forests
Ficus racemosa,chhota-nagpur-dry-deciduous-forests
Garuga pinnata,chhota-nagpur-dry-deciduous-forests
Glochidion lanceolarium,chhota-nagpur-dry-deciduous-forests
Grewia tiliaefolia,chhota-nagpur-dry-deciduous-forests
Lagerstroemia parviflora,chhota-nagpur-dry-deciduous-forests
Lannea coromandelica,chhota-nagpur-dry-deciduous-forests
Madhuca longifolia,chhota-nagpur-dry-deciduous-forests
Mallotus philippensis,chhota-nagpur-dry-deciduous-forests
Mangifera indica,chhota-nagpur-dry-deciduous-forests
Mitragyna parviflora,chhota-nagpur-dry-deciduous-forests
Ougeinia oojeinensis,chhota-nagpur-dry-deciduous-forests
Pterocarpus marsupium,chhota-nagpur-dry-deciduous-forests
Pterygota alata,chhota-nagpur-dry-deciduous-forests
Schleichera oleosa,chhota-nagpur-dry-deciduous-forests
Semecarpus anacardium,chhota-nagpur-dry-deciduous-forests
Shorea robusta,chhota-nagpur-dry-deciduous-forests
Soymida febrifuga,chhota-nagpur-dry-deciduous-forests
Terminalia tomentosa,chhota-nagpur-dry-deciduous-forests
Terminalia arjuna,chhota-nagpur-dry-deciduous-forests
Acacia catechu,Deccan Thorn Scrub Forests
Albizia amara,Deccan Thorn Scrub Forests
Anogeissus latifolia,Deccan Thorn Scrub Forests
Buchanania axillaris,Deccan Thorn Scrub Forests
Chloroxylon swietenia,Deccan Thorn Scrub Forests
Commiphora caudata,Deccan Thorn Scrub Forests
Dalbergia lanceolaria,Deccan Thorn Scrub Forests
Deccania pubescens,Deccan Thorn Scrub Forests
Diospyros ebenum,Deccan Thorn Scrub Forests
Diospyros melanoxylon,Deccan Thorn Scrub Forests
Dolichandrone atrovirens,Deccan Thorn Scrub Forests
Ficus amplissima,Deccan Thorn Scrub Forests
Ficus mollis,Deccan Thorn Scrub Forests
Gardenia gummifera,Deccan Thorn Scrub Forests
Givotia moluccana,Deccan Thorn Scrub Forests
Hardwickia binata,Deccan Thorn Scrub Forests
Limonia acidissima,Deccan Thorn Scrub Forests
Madhuca indica,Deccan Thorn Scrub Forests
Morinda pubescens,Deccan Thorn Scrub Forests
Phyllanthus emblica,Deccan Thorn Scrub Forests
Premna tomentosa,Deccan Thorn Scrub Forests
Pterocarpus marsupium,Deccan Thorn Scrub Forests
Sterculia urens,Deccan Thorn Scrub Forests
Strebulus asper,Deccan Thorn Scrub Forests
Syzygium alternifolium,Deccan Thorn Scrub Forests
Syzygium cumini,Deccan Thorn Scrub Forests
Terminalia alata,Deccan Thorn Scrub Forests
Terminalia catappa,Deccan Thorn Scrub Forests
Vitex altissima,Deccan Thorn Scrub Forests
Wrightia tinctoria,Deccan Thorn Scrub Forests
Ziziphus xylopyrus,Deccan Thorn Scrub Forests
Aglaia elaeagnoidea,East Deccan Dry Evergreen Forests
Atalantia monophylla,East Deccan Dry Evergreen Forests
Buchanania axillaris,East Deccan Dry Evergreen Forests
Celtis philippensis,East Deccan Dry Evergreen Forests
Chionanthus zeylanica,East Deccan Dry Evergreen Forests
Diospyros affinis,East Deccan Dry Evergreen Forests
Diospyros ebenum,East Deccan Dry Evergreen Forests
Drypetes sepiaria,East Deccan Dry Evergreen Forests
Ficus microcarpa,East Deccan Dry Evergreen Forests
Garcinia spicata,East Deccan Dry Evergreen Forests
Lepisanthes tetraphylla,East Deccan Dry Evergreen Forests
Manilkara hexandra,East Deccan Dry Evergreen Forests
Pamburus missionis,East Deccan Dry Evergreen Forests
Pleiospermium alatum,East Deccan Dry Evergreen Forests
Psydrax dicoccos,East Deccan Dry Evergreen Forests
Syzygium cumini,East Deccan Dry Evergreen Forests
Walsura trifoliolata,East Deccan Dry Evergreen Forests
Albizia amara,East Deccan Dry Evergreen Forests
Cassine glauca,East Deccan Dry Evergreen Forests
Dalbergia lanceolaria,East Deccan Dry Evergreen Forests
Diospyros chloroxylon,East Deccan Dry Evergreen Forests
Pterospermum suberifolium,East Deccan Dry Evergreen Forests
Pterospermum xylocarpum,East Deccan Dry Evergreen Forests
Streblus asper,East Deccan Dry Evergreen Forests
Strychnos nux-vomica,East Deccan Dry Evergreen Forests
Wrightia tinctoria,East Deccan Dry Evergreen Forests
Alangium salviifolium,East Deccan moist deciduous forests
Albizzia procera,East Deccan moist deciduous forests
Anogeissus latifolia,East Deccan moist deciduous forests
Anthocephalus cadamba,East Deccan moist deciduous forests
Artocarpus lacucha,East Deccan moist deciduous forests
Barringtonia acutangula,East Deccan moist deciduous forests
Boswellia serrata,East Deccan moist deciduous forests
Crateva religiosa,East Deccan moist deciduous forests
Croton oblongifolia,East Deccan moist deciduous forests
Dalbergia sisoo,East Deccan moist deciduous forests
Dillenia pentagyna,East Deccan moist deciduous forests
Diospyros malabarica,East Deccan moist deciduous forests
Ficus benghalensis,East Deccan moist deciduous forests
Ficus semicordata,East Deccan moist deciduous forests
Ficus tinctoria,East Deccan moist deciduous forests
Garuga pinnata,East Deccan moist deciduous forests
Gmelina arborea,East Deccan moist deciduous forests
Hymenodictyon excelsum,East Deccan moist deciduous forests
Melia dubia,East Deccan moist deciduous forests
Protium serratum,East Deccan moist deciduous forests
Schleichera oleosa,East Deccan moist deciduous forests
Schrebera swietenioides,East Deccan moist deciduous forests
Shorea robusta,East Deccan moist deciduous forests
Stereospermum chelonoides,East Deccan moist deciduous forests
Symplocos cochinchinensis,East Deccan moist deciduous forests
Syzygium cumini,East Deccan moist deciduous forests
Terminalia tomentosa,East Deccan moist deciduous forests
Toona ciliata,East Deccan moist deciduous forests
Trewia nudiflora,East Deccan moist deciduous forests
Vitex leucoxylon,East Deccan moist deciduous forests
Acanthus ilicifolius,Godavari-Krishna mangroves
Acrostichum aureum,Godavari-Krishna mangroves
Aegiceras corniculatum,Godavari-Krishna mangroves
Avicennia marina,Godavari-Krishna mangroves
Avicennia officinalis,Godavari-Krishna mangroves
Bruguiera cylindrica,Godavari-Krishna mangroves
Ceriops decandra,Godavari-Krishna mangroves
Ceriops tagal,Godavari-Krishna mangroves
Excoecaria agallocha,Godavari-Krishna mangroves
Heritiera littoralis,Godavari-Krishna mangroves
Lumnitzera racemosa,Godavari-Krishna mangroves
Rhizophora apiculata,Godavari-Krishna mangroves
Rhizophora mucronata,Godavari-Krishna mangroves
Sonneratia apetala,Godavari-Krishna mangroves
Xylocarpus granatum,Godavari-Krishna mangroves
Xylocarpus moluccensis,Godavari-Krishna mangroves
Aegialitis rotundifolia,Godavari-Krishna mangroves
Brownlowia tersa,Godavari-Krishna mangroves
Bruguiera gymnorrhiza,Godavari-Krishna mangroves
Kandelia candel,Godavari-Krishna mangroves
Scyphiphora hydrophylacea,Godavari-Krishna mangroves
Sonneratia alba,Godavari-Krishna mangroves
Naringi crenulata,Godavari-Krishna mangroves
Ochna obtusata,Godavari-Krishna mangroves
Phyllanthus polyphyllus,Godavari-Krishna mangroves
Pterolobium hexapetalum,Godavari-Krishna mangroves
Walsura trifoliata,Godavari-Krishna mangroves
Wendlandia tinctoria,Godavari-Krishna mangroves
Ziziphus mauritiana,Godavari-Krishna mangroves
Pemphis acidula,Godavari-Krishna mangroves
Rhizophora lamarckii,Godavari-Krishna mangroves
Rhizophora annamalayana,Godavari-Krishna mangroves
True mangroves,Indus River Delta-Arabian Sea Mangroves
Acanthus ilicifolius,Indus River Delta-Arabian Sea Mangroves
Aegiceras corniculatum,Indus River Delta-Arabian Sea Mangroves
Avicennia alba,Indus River Delta-Arabian Sea Mangroves
Avicennia marina,Indus River Delta-Arabian Sea Mangroves
Avicennia officinalis,Indus River Delta-Arabian Sea Mangroves
Bruguiera cylindrica,Indus River Delta-Arabian Sea Mangroves
Bruguiera gymnorrhiza,Indus River Delta-Arabian Sea Mangroves
Ceriops tagal,Indus River Delta-Arabian Sea Mangroves
Rhizophora apiculata,Indus River Delta-Arabian Sea Mangroves
Rhizophora mucronata,Indus River Delta-Arabian Sea Mangroves
Sonneratia apetala,Indus River Delta-Arabian Sea Mangroves
Aeluropus lagopoides,Indus River Delta-Arabian Sea Mangroves
Arthrocnemum indicum,Indus River Delta-Arabian Sea Mangroves
Caesalpinia crista,Indus River Delta-Arabian Sea Mangroves
Canavalia gladiata,Indus River Delta-Arabian Sea Mangroves
Cressa cretica,Indus River Delta-Arabian Sea Mangroves
Derris trifoliata,Indus River Delta-Arabian Sea Mangroves
Ipomoea biloba,Indus River Delta-Arabian Sea Mangroves
Porteresia coarctata,Indus River Delta-Arabian Sea Mangroves
Salicornia brachiata,Indus River Delta-Arabian Sea Mangroves
Salvadora persica,Indus River Delta-Arabian Sea Mangroves
Sesuvium portulacastrum,Indus River Delta-Arabian Sea Mangroves
Suaeda fruticosa,Indus River Delta-Arabian Sea Mangroves
Thespesia populnea,Indus River Delta-Arabian Sea Mangroves
Urochondra setulosa,Indus River Delta-Arabian Sea Mangroves
Volkameria inermis,Indus River Delta-Arabian Sea Mangroves
Acacia chundra,Khathiar-Gir Dry Deciduous Forests
Acacia nilotica,Khathiar-Gir Dry Deciduous Forests
Aegle marmelos,Khathiar-Gir Dry Deciduous Forests
Albizia lebbeck,Khathiar-Gir Dry Deciduous Forests
Anogeissus pendula,Khathiar-Gir Dry Deciduous Forests
Boswellia serrata,Khathiar-Gir Dry Deciduous Forests
Butea monosperma,Khathiar-Gir Dry Deciduous Forests
Crateva religiosa,Khathiar-Gir Dry Deciduous Forests
Dalbergia latifolia,Khathiar-Gir Dry Deciduous Forests
Diospyros melanoxylon,Khathiar-Gir Dry Deciduous Forests
Ehretia laevis,Khathiar-Gir Dry Deciduous Forests
Ficus glomerata,Khathiar-Gir Dry Deciduous Forests
Ficus racemosa,Khathiar-Gir Dry Deciduous Forests
Gmelina arborea,Khathiar-Gir Dry Deciduous Forests
Holoptelea integrifolia,Khathiar-Gir Dry Deciduous Forests
Kydia calycina,Khathiar-Gir Dry Deciduous Forests
Lannea coromandelica,Khathiar-Gir Dry Deciduous Forests
Mallotus philippensis,Khathiar-Gir Dry Deciduous Forests
Mangifera indica,Khathiar-Gir Dry Deciduous Forests
Miliusa tomentosa,Khathiar-Gir Dry Deciduous Forests
Mitragyna parvifolia,Khathiar-Gir Dry Deciduous Forests
Salvadora persica,Khathiar-Gir Dry Deciduous Forests
Protium serratum,Khathiar-Gir Dry Deciduous Forests
Sapindus emarginatus,Khathiar-Gir Dry Deciduous Forests
Schrebera swietenioides,Khathiar-Gir Dry Deciduous Forests
Soymida febrifuga,Khathiar-Gir Dry Deciduous Forests
Sterculia urens,Khathiar-Gir Dry Deciduous Forests
Syzygium cumini,Khathiar-Gir Dry Deciduous Forests
Tecomella undulata,Khathiar-Gir Dry Deciduous Forests
Terminalia crenulata,Khathiar-Gir Dry Deciduous Forests
Vitex negundo,Khathiar-Gir Dry Deciduous Forests
Wrightia tinctoria,Khathiar-Gir Dry Deciduous Forests
Ziziphus mauritiana,Khathiar-Gir Dry Deciduous Forests
Ziziphus xylopyros,Khathiar-Gir Dry Deciduous Forests
Acrocarpus fraxinifolius,Lower Gangetic Plains Moist Deciduous Forests
Aglaia lawii,Lower Gangetic Plains Moist Deciduous Forests
Aglaia spectabilis,Lower Gangetic Plains Moist Deciduous Forests
Ailanthus integrifolia,Lower Gangetic Plains Moist Deciduous Forests
Alangium chinense,Lower Gangetic Plains Moist Deciduous Forests
Albizia lebbeck,Lower Gangetic Plains Moist Deciduous Forests
Albizia procera,Lower Gangetic Plains Moist Deciduous Forests
Anthocephalus cadamba,Lower Gangetic Plains Moist Deciduous Forests
Aphanamixis polystachya,Lower Gangetic Plains Moist Deciduous Forests
Artocarpus chama,Lower Gangetic Plains Moist Deciduous Forests
Artocarpus lacucha,Lower Gangetic Plains Moist Deciduous Forests
Bombax ceiba,Lower Gangetic Plains Moist Deciduous Forests
Butea monosperma,Lower Gangetic Plains Moist Deciduous Forests
Casearia graveolens,Lower Gangetic Plains Moist Deciduous Forests
Celtis tetrandra,Lower Gangetic Plains Moist Deciduous Forests
Cephalanthus tetrandra,Lower Gangetic Plains Moist Deciduous Forests
Crateva religiosa,Lower Gangetic Plains Moist Deciduous Forests
Dalbergia sissoo,Lower Gangetic Plains Moist Deciduous Forests
Dillenia indica,Lower Gangetic Plains Moist Deciduous Forests
Duabanga grandiflora,Lower Gangetic Plains Moist Deciduous Forests
Dysoxylum gotadhora,Lower Gangetic Plains Moist Deciduous Forests
Elaeocarpus floribundus,Lower Gangetic Plains Moist Deciduous Forests
Elaeocarpus varunua,Lower Gangetic Plains Moist Deciduous Forests
Ficus benghalensis,Lower Gangetic Plains Moist Deciduous Forests
Ficus racemosa,Lower Gangetic Plains Moist Deciduous Forests
Garuga pinnata,Lower Gangetic Plains Moist Deciduous Forests
Gmelina arborea,Lower Gangetic Plains Moist Deciduous Forests
Grewia asiatica,Lower Gangetic Plains Moist Deciduous Forests
